date,gender,time_code,time_label,url,year_pillar,month_pillar,day_pillar,hour_pillar,minggong,taiyuan,year_void,day_void,patterns,luck_start
1998-01-22,female,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-1-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,正官 甲子 癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 金神格,2002-07-02
1998-01-22,female,3,1-3点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-3-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,杀 乙丑 己比肩；辛食神；癸偏财,偏财 癸卯 乙杀,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 金神格,2002-06-22
1998-01-22,female,5,3-5点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-5-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,正印 丙寅 甲正官；丙正印；戊劫财,正财 壬寅 甲正官；丙正印；戊劫财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 正印格 金神格,2002-06-12
1998-01-22,female,7,5-7点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-7-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,枭 丁卯 乙杀,偏财 癸丑 己比肩；辛食神；癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 枭格 金神格,2002-06-02
1998-01-22,female,9,7-9点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-9-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,劫财 戊辰 戊劫财；乙杀；癸偏财,正财 壬子 癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 金神格,2002-05-23
1998-01-22,female,11,9-11点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-11-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,比肩 己巳 丙正印；庚伤官；戊劫财,食神 辛亥 壬正财；甲正官,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 枭格 金神格,2002-05-13
1998-01-22,female,13,11-13点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-13-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,伤官 庚午 丁枭；己比肩,伤官 庚戌 戊劫财；辛食神；丁枭,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 枭格 伤官格 金神格,2002-05-03
1998-01-22,female,15,13-15点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-15-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,食神 辛未 己比肩；丁枭；乙杀,比肩 己酉 辛食神,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,食神格 偏财格 枭格 金神格,2002-04-23
1998-01-22,female,17,15-17点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-17-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,正财 壬申 庚伤官；壬正财；戊劫财,劫财 戊申 庚伤官；壬正财；戊劫财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 正财格 金神格 从势,2002-04-13
1998-01-22,female,19,17-19点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-19-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,偏财 癸酉 辛食神,枭 丁未 己比肩；丁枭；乙杀,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 枭格 金神格 从势,2002-04-03
1998-01-22,female,21,19-21点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-21-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,正官 甲戌 戊劫财；辛食神；丁枭,正印 丙午 丁枭；己比肩,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 枭格 金神格,2002-03-24
1998-01-22,female,23,21-23点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-23-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,杀 乙亥 壬正财；甲正官,杀 乙巳 丙正印；庚伤官；戊劫财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 杀格 枭格 金神格,2002-03-14
1998-01-22,female,24,23-24点,http://mfsm.kvov.com/fx/1998-01-22/bzmp-24-2.html,枭 丁丑 己比肩；辛食神；癸偏财,偏财 癸丑 己比肩；辛食神；癸偏财,日主 己巳 丙正印；庚伤官；戊劫财,正印 丙子 癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,正官 甲辰 戊劫财；乙杀；癸偏财,申酉空,戌亥空,偏财格 正印格 金神格,2002-03-09
