date,gender,gender_label,time_code,time_label,url,row_index,confidence,basis,analysis
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,1,71%,本命 夫妻宫 坐守 紫微,另一半具有主导欲望，特质是对家庭的责任感很强，即使婚姻生活不如对方的心意也不会轻言离婚，对其而言，婚姻是很有意义，很庄重的。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,2,71%,本命 夫妻宫 坐守 化科,"配偶温柔、体贴、善解风情，往往为自己的贵人，夫妻感情好。
姻缘较属介绍型，如同事、同学、兄弟姊妹介绍。"
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,3,71%,本命 迁移宫 坐守 武曲,利经商。迁移异地后必多忙碌。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,4,71%,本命 官禄宫 坐守 天府,凡有经营，以脚踏实地为佳，否则徒自寻烦恼。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,5,71%,本命 子女宫 坐守 化禄,"会因子女带财来，生子后，财富、食禄较显彰。
在外人缘好，异性缘佳。可借合作之力得财富。
自身比较花心。"
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,6,71%,本命 迁移宫 坐守 贪狼,社交范围广泛，能接触到各行各业的人士，并能够从他们身上获得信息、资源。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,7,71%,本命 交友宫 坐守 天同,交游广阔，易结交朋友，与下属关系也佳。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,8,71%,本命 夫妻宫 坐守 七杀,配偶一不高兴脸就拉下来，翻脸像翻书。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,9,71%,本命 福德宫 坐守 廉贞,注重精神上的愉悦。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,10,67%,本命 空宫,幼年多病，与双亲感情浅，一生当中会更改自己姓或名，离乡外赴等情形。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,11,67%,本命 夫妻宫 坐守 右弼,较有私情、单恋，婚前易同时有两位异性出现。也可能婚后易有外遇，或再婚的情况。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,12,67%,本命 夫妻宫 坐守 天马,自身热情而愿意为爱情牺牲奉献，有服侍之精神而且不辞劳苦。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,13,67%,本命 福德宫 坐守 火星,忙碌少清闲，精神生活不安，少乐多忧。内心脾气大，在婚姻中，容易一言不合就生气，需要注意情绪控制。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,14,66%,本命 交友宫 加会3个及以上 文昌 文曲 左辅 右弼 天魁 天钺,可得朋友帮助。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,15,66%,本命 财帛宫 加会3个及以上 化忌 火星 铃星 地劫 地空 陀罗 擎羊,钱财必有大破败的情况，纵发一时之财，也会因财致祸，多财务纠纷，财不能久留。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,16,66%,乙年出生,感性多情又执着，容易情绪不稳，过于完美主义又爱钻牛角尖，经常吹毛求疵让人受不了。而且还是个夜猫族，喜欢夜不归宿，容易流连灯红酒绿的场合，让人捉摸不定很没安全感，将成为其感情的致命伤。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,17,66%,本命 官禄宫 加会 地劫 地空 大耗,一生事业多破耗。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,18,64%,本命 财帛宫 加会 地劫 地空,财源不稳，容易遇上拦路虎或程咬金。财来财去，不易累积，做生意则容易亏。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,19,64%,本命 官禄宫 加会 地劫 地空,一般情况下宜从事较冷僻的行业，或奇兵突出，其营运手法出乎同行的意料之外，唯最忌志大才疏，则终身事业难以振作。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,20,64%,本命 加会 地劫 地空,"所学所用较讲求实用，生活单调无趣；
也比较不会说谎，沉不住气藏不住话；
性急又胡思乱想，很容易有预设立场之嫌；
多空想而少实际。想法很多，却常因为种种原因无法放手去做，陷入空想多于实践的窘境。
故有半空折翅，浪里行舟的说法。"
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,21,64%,本命 坐守 天哭,尖下巴。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,22,64%,本命 福德宫 坐守 旬空,度量大。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,23,64%,本命 坐守 华盖,喜探索神秘事物，大都有宗教信仰。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,24,64%,本命 子女宫 加会 文昌 文曲,子女聪明。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,25,64%,本命 夫妻宫 加会 地劫 地空,夫妻或因为周遭因素不能常相聚。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,26,64%,"本命 官禄宫 加会 天马
本命 加会1个及以上 禄存 化禄",富，财运好。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,27,61%,本命 迁移宫 加会2个及以上 左辅 右弼 天魁 天钺,工作职业，外出多得贵人扶助，逢凶化吉，而发财。动中每得贵人扶助，逢凶化吉。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,28,61%,本命 加会2个及以上 化忌 地劫 地空 陀罗 擎羊,秀而不实福泽有损（富不全），或富贵只得其一，或富不很富，贵不很贵，或因富贵致祸，或人生有其他缺憾。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,29,61%,本命 夫妻宫 加会2个及以上 火星 铃星 地劫 地空 陀罗 擎羊,夫妻关系多半不佳，多口舌是非、争吵、冷战甚至会离异。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,30,60%,本命 官禄宫 加会 龙池 凤阁,有专业才能。
1995-07-11,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/mfsmm-1-2.html,31,60%,本命 加会 龙池 凤阁,聪明，易学习才艺。
